date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
09:13:16	327/327	---M--	404	error ('Not%20Found')	text/html	date:Mon,%2014%20Aug%202017%2013:13:16%20GMT	http://connectionpoint4u.com/robots.txt		(from )
09:13:17	14599/14599	U--MC-	200	updated ('OK')	text/html	date:Mon,%2014%20Aug%202017%2013:13:16%20GMT	http://connectionpoint4u.com/	D:/Websites/CPC%20Old/connectionpoint4u.com/index.html	(from )
09:13:17	1150/1150	U-----	200	untouched ('')	image/x-icon	date:Tue,%2007%20Jan%202014%2014:08:55%20GMT	http://connectionpoint4u.com/favicon.ico	D:/Websites/CPC%20Old/connectionpoint4u.com/favicon.ico	(from http://connectionpoint4u.com/)
09:13:17	13498/13498	U-----	200	untouched ('OK')	text/css	etag:%227c6e196-34ba-4b5df459b9040%22	http://cdn.mybridgeelement.com/_cornerstone/media/mediaelementplayer.min.css	D:/Websites/CPC%20Old/cdn.mybridgeelement.com/_cornerstone/media/mediaelementplayer.min.css	(from http://connectionpoint4u.com/)
09:13:17	39272/39272	U-----	200	untouched ('OK')	text/css	etag:%227c6e186-9968-4de6cd7d90180%22	http://cdn.mybridgeelement.com/_cornerstone/main.css	D:/Websites/CPC%20Old/cdn.mybridgeelement.com/_cornerstone/main.css	(from http://connectionpoint4u.com/)
09:13:17	4320/4320	U-----	200	untouched ('OK')	text/css	etag:%227c6e183-10e0-4b5df459b9040%22	http://cdn.mybridgeelement.com/_cornerstone/media.css	D:/Websites/CPC%20Old/cdn.mybridgeelement.com/_cornerstone/media.css	(from http://connectionpoint4u.com/)
09:13:17	141/141	U-----	200	untouched ('OK')	text/css	date:Tue,%2003%20Sep%202013%2020:22:26%20GMT	http://connectionpoint4u.com/css/style.css	D:/Websites/CPC%20Old/connectionpoint4u.com/css/style.css	(from http://connectionpoint4u.com/)
09:13:18	94840/94840	U-----	200	untouched ('')	text/javascript	date:Tue,%2020%20Dec%202016%2018:17:03%20GMT	http://ajax.googleapis.com/ajax/libs/jquery/1.7.2/jquery.min.js	D:/Websites/CPC%20Old/ajax.googleapis.com/ajax/libs/jquery/1.7.2/jquery.min.js	(from http://connectionpoint4u.com/)
09:13:18	492/492	---M--	404	error ('Not%20Found')	text/html	date:Mon,%2014%20Aug%202017%2013:13:18%20GMT	http://cdn.mybridgeelement.com/_cornerstone/images/doublequote.png	D:/Websites/CPC%20Old/cdn.mybridgeelement.com/_cornerstone/images/doublequote.png	(from http://cdn.mybridgeelement.com/_cornerstone/main.css)
09:13:18	339/339	---M--	404	error ('Not%20Found')	text/html	date:Mon,%2014%20Aug%202017%2013:13:18%20GMT	http://connectionpoint4u.com/js/jquery-1.6.2.min.js	D:/Websites/CPC%20Old/connectionpoint4u.com/js/jquery-1.6.2.min.html	(from http://connectionpoint4u.com/)
09:13:18	495/495	---M--	404	error ('Not%20Found')	text/html	date:Mon,%2014%20Aug%202017%2013:13:18%20GMT	http://cdn.mybridgeelement.com/_cornerstone/images/sub-content-bg.jpg	D:/Websites/CPC%20Old/cdn.mybridgeelement.com/_cornerstone/images/sub-content-bg.jpg	(from http://cdn.mybridgeelement.com/_cornerstone/main.css)
09:13:18	14135/14135	U-----	200	untouched ('')	application/javascript	etag:%227c6e118-3737-4c69aad6233c0%22	http://cdn.mybridgeelement.com/js/jCarouselLite.js	D:/Websites/CPC%20Old/cdn.mybridgeelement.com/js/jCarouselLite.js	(from http://connectionpoint4u.com/)
09:13:19	4926/4926	U-----	200	untouched ('')	application/javascript	etag:%227c6e10b-133e-4c69aaf8784c0%22	http://cdn.mybridgeelement.com/js/jquery.innerfade.js	D:/Websites/CPC%20Old/cdn.mybridgeelement.com/js/jquery.innerfade.js	(from http://connectionpoint4u.com/)
09:13:19	2450/2450	U-----	200	untouched ('')	application/javascript	etag:%227c6e11b-992-4c69baf5a3dc0%22	http://cdn.mybridgeelement.com/js/main_cornerstone.js	D:/Websites/CPC%20Old/cdn.mybridgeelement.com/js/main_cornerstone.js	(from http://connectionpoint4u.com/)
09:13:19	16226/16226	U-----	200	untouched ('')	application/javascript	etag:%227c6e115-3f62-4c69ab2733300%22	http://cdn.mybridgeelement.com/js/modernizr-2.0.6.min.js	D:/Websites/CPC%20Old/cdn.mybridgeelement.com/js/modernizr-2.0.6.min.js	(from http://connectionpoint4u.com/)
09:13:20	19891/19891	U-----	200	untouched ('')	image/png	date:Wed,%2025%20Jan%202017%2015:04:49%20GMT	http://connectionpoint4u.com/cms-assets/zoom-cropped-images/464535_165_logo-image.png?rand=0.27698214851389014	D:/Websites/CPC%20Old/connectionpoint4u.com/cms-assets/zoom-cropped-images/464535_165_logo-image84a8.png	(from http://connectionpoint4u.com/)
09:13:24	14599/14599	U--MC-	200	updated ('OK')	text/html	date:Mon,%2014%20Aug%202017%2013:13:19%20GMT	http://connectionpoint4u.com/index.php	D:/Websites/CPC%20Old/connectionpoint4u.com/index-2.html	(from http://connectionpoint4u.com/)
09:13:25	15226/15226	U--MC-	200	updated ('OK')	text/html	date:Mon,%2014%20Aug%202017%2013:13:20%20GMT	http://connectionpoint4u.com/whattoexpect.php	D:/Websites/CPC%20Old/connectionpoint4u.com/whattoexpect.html	(from http://connectionpoint4u.com/)
09:13:25	13471/13471	U--MC-	200	updated ('OK')	text/html	date:Mon,%2014%20Aug%202017%2013:13:20%20GMT	http://connectionpoint4u.com/staff.php	D:/Websites/CPC%20Old/connectionpoint4u.com/staff.html	(from http://connectionpoint4u.com/)
09:13:29	16386/16386	U--MC-	200	updated ('OK')	text/html	date:Mon,%2014%20Aug%202017%2013:13:25%20GMT	http://connectionpoint4u.com/beliefs.php	D:/Websites/CPC%20Old/connectionpoint4u.com/beliefs.html	(from http://connectionpoint4u.com/)
09:13:30	13559/13559	U--MC-	200	updated ('OK')	text/html	date:Mon,%2014%20Aug%202017%2013:13:25%20GMT	http://connectionpoint4u.com/location2014.php	D:/Websites/CPC%20Old/connectionpoint4u.com/location2014.html	(from http://connectionpoint4u.com/)
09:13:31	17234/17234	U--MC-	200	updated ('OK')	text/html	date:Mon,%2014%20Aug%202017%2013:13:25%20GMT	http://connectionpoint4u.com/kids.php	D:/Websites/CPC%20Old/connectionpoint4u.com/kids.html	(from http://connectionpoint4u.com/)
09:13:34	12777/12777	U--MC-	200	updated ('OK')	text/html	date:Mon,%2014%20Aug%202017%2013:13:29%20GMT	http://connectionpoint4u.com/~connectp/smallgroups.php	D:/Websites/CPC%20Old/connectionpoint4u.com/_connectp/smallgroups.html	(from http://connectionpoint4u.com/)
09:13:36	14222/14222	U--MC-	200	updated ('OK')	text/html	date:Mon,%2014%20Aug%202017%2013:13:31%20GMT	http://connectionpoint4u.com/vision.php	D:/Websites/CPC%20Old/connectionpoint4u.com/vision.html	(from http://connectionpoint4u.com/)
09:13:36	12777/12777	U--MC-	200	updated ('OK')	text/html	date:Mon,%2014%20Aug%202017%2013:13:31%20GMT	http://connectionpoint4u.com/smallgroups.php	D:/Websites/CPC%20Old/connectionpoint4u.com/smallgroups.html	(from http://connectionpoint4u.com/)
09:13:38	32410/32410	U-----	200	untouched ('')	text/javascript	date:Tue,%2001%20Aug%202017%2003:25:32%20GMT	https://www.google-analytics.com/analytics.js	D:/Websites/CPC%20Old/www.google-analytics.com/analytics.js	(from http://connectionpoint4u.com/)
09:13:38	16226/16226	U--MC-	200	updated ('OK')	text/html	date:Mon,%2014%20Aug%202017%2013:13:34%20GMT	http://connectionpoint4u.com/salvation.php	D:/Websites/CPC%20Old/connectionpoint4u.com/salvation.html	(from http://connectionpoint4u.com/)
09:13:40	17843/17843	U--MC-	200	updated ('OK')	text/html	date:Mon,%2014%20Aug%202017%2013:13:36%20GMT	http://connectionpoint4u.com/baptism.php	D:/Websites/CPC%20Old/connectionpoint4u.com/baptism.html	(from http://connectionpoint4u.com/)
09:13:41	13755/13755	U--MC-	200	updated ('OK')	text/html	date:Mon,%2014%20Aug%202017%2013:13:37%20GMT	http://connectionpoint4u.com/~connectp/serving.php	D:/Websites/CPC%20Old/connectionpoint4u.com/_connectp/serving.html	(from http://connectionpoint4u.com/)
09:13:42	28286/28286	U--MC-	200	updated ('OK')	text/html	date:Mon,%2014%20Aug%202017%2013:13:38%20GMT	http://connectionpoint4u.com/media.php	D:/Websites/CPC%20Old/connectionpoint4u.com/media.html	(from http://connectionpoint4u.com/)
